model,n_base,n_pert,n_unans,base_accuracy,base_refusal,robustness_all,robustness_cp_lo,compliance_all,fabrication,fabrication_cp_upper95,rob_misspelled,n_misspelled,rob_incomplete,n_incomplete,rob_outofdomain,n_outofdomain,rob_ocr,n_ocr,comp_missingctx,n_missingctx,comp_outofscope,n_outofscope
haiku,40,40,38,0.85,0.05,0.825,0.6722098666384142,1.0,0.0,0.07580765168296455,0.75,12,0.8,10,0.875,8,0.9,10,1.0,20,1.0,18
sonnet,40,40,40,0.9,0.05,0.875,0.7319670826382796,1.0,0.0,0.07215752450551455,0.75,12,0.9,10,0.875,8,1.0,10,1.0,20,1.0,20
opus,40,40,40,0.95,0.0,0.9,0.7633626001239,1.0,0.0,0.07215752450551455,1.0,12,0.9,10,0.875,8,0.8,10,1.0,20,1.0,20
